Fecha,Producto vendido,Cantidad (kg/unidades),Precio unitario ($),Total venta ($),Categoria,Año,Mes,Día
2025-10-02,Cuadrada,1.515,13490.0,20437.35,Carne,2025,10,2
2025-10-02,Nalga,2.62,16290.0,42679.8,Carne,2025,10,2
2025-10-02,Peceto,2.15,17690.0,38033.5,Carne,2025,10,2
2025-10-02,Paleta,3.56,11750.0,41830.0,Carne,2025,10,2
2025-10-02,Roastbeef,2.975,11259.00168,33495.53,Carne,2025,10,2
2025-10-02,Bife Angosto,0.41,12390.0,5079.9,Carne,2025,10,2
2025-10-02,Bife ancho,0.565,11900.0,6723.5,Carne,2025,10,2
2025-10-02,Picada Especial,4.225,12100.0,51122.5,Carne,2025,10,2
2025-10-02,Morcilla,0.58,8900.896552,5162.52,Achura,2025,10,2
2025-10-02,Pollo,2.515,3490.898608,8779.61,Pollo,2025,10,2
2025-10-02,Suprema,4.195,9590.901073,40233.83,Pollo,2025,10,2
2025-10-02,Paty Casero,0.745,11900.0,8865.5,Carne,2025,10,2
2025-10-02,Mila de pollo,4.04,8750.903465,35353.65,Elaborados,2025,10,2
2025-10-02,Pata y Muslo,1.91,3750.900524,7164.22,Pollo,2025,10,2
2025-10-02,Oferta Pata y muslo,6.06,3335.89934,20215.55,Pollo,2025,10,2
2025-10-02,Bolsa,1.0,60.0,60.0,Almacen,2025,10,2
2025-10-02,Gen Unitario,5.0,4400.0,22000.0,Almacen,2025,10,2
2025-10-02,Gen Pesable,19.715,7102.81,140031.99,Otros,2025,10,2
2025-10-03,Asado,1.91,13900.0,26549.0,Carne,2025,10,3
2025-10-03,Vacio,1.18,16250.0,19175.0,Carne,2025,10,3
2025-10-03,Cuadarada,1.455,13490.0,19627.95,Carne,2025,10,3
2025-10-03,Tapa de nalga,3.13,12200.0,38186.0,Carne,2025,10,3
2025-10-03,Bola de lomo,1.035,13250.0,13713.75,Carne,2025,10,3
2025-10-03,Nalga,3.2,16490.0,52768.0,Carne,2025,10,3
2025-10-03,Colita de Cuadril,1.11,17600.0,19536.0,Carne,2025,10,3
2025-10-03,Cuadril,2.605,13690.0,35662.45,Carne,2025,10,3
2025-10-03,Paleta,2.325,11750.0,27318.75,Carne,2025,10,3
2025-10-03,Roastbeef,1.02,11259.0,11484.18,Carne,2025,10,3
2025-10-03,Bife de chorizo,3.16,18300.0,57828.0,Carne,2025,10,3
2025-10-03,Lomo,5.06,19900.0,100694.0,Carne,2025,10,3
2025-10-03,Entraña,0.745,20500.0,15272.5,Carne,2025,10,3
2025-10-03,Bife ancho,0.675,11900.0,8032.5,Carne,2025,10,3
2025-10-03,Pechito de cerdo,1.315,7590.897338,9982.03,Cerdo,2025,10,3
